year,season,scenario,model,snc_mile2
1937,3,historical,bcc_csm2_mr,656816.257230099
1937,4,historical,bcc_csm2_mr,2048147.35653712
1938,1,historical,bcc_csm2_mr,5206819.13427196
1938,2,historical,bcc_csm2_mr,3719160.99004555
1938,3,historical,bcc_csm2_mr,668599.32775704
1938,4,historical,bcc_csm2_mr,2052556.39027636
1939,1,historical,bcc_csm2_mr,4561633.25014233
1939,2,historical,bcc_csm2_mr,3679435.87044118
1939,3,historical,bcc_csm2_mr,716584.6270758
1939,4,historical,bcc_csm2_mr,1999379.7980245
1940,1,historical,bcc_csm2_mr,5105299.45163058
1940,2,historical,bcc_csm2_mr,3730058.08362211
1940,3,historical,bcc_csm2_mr,744593.271033798
1940,4,historical,bcc_csm2_mr,2221146.59373247
1941,1,historical,bcc_csm2_mr,4305462.19092233
1941,2,historical,bcc_csm2_mr,3587049.81258283
1941,3,historical,bcc_csm2_mr,790721.113775225
1941,4,historical,bcc_csm2_mr,1795668.13960572
1942,1,historical,bcc_csm2_mr,4866053.89355465
1942,2,historical,bcc_csm2_mr,3682759.71616849
1942,3,historical,bcc_csm2_mr,692211.473487571
1942,4,historical,bcc_csm2_mr,2015233.15130719
1943,1,historical,bcc_csm2_mr,4955016.33279559
1943,2,historical,bcc_csm2_mr,3466020.7590794
1943,3,historical,bcc_csm2_mr,618510.168455417
1943,4,historical,bcc_csm2_mr,1862638.87958375
1944,1,historical,bcc_csm2_mr,4386330.71060246
1944,2,historical,bcc_csm2_mr,3333209.30768205
1944,3,historical,bcc_csm2_mr,760579.176862971
1944,4,historical,bcc_csm2_mr,1830486.60512079
1945,1,historical,bcc_csm2_mr,5218833.90231816
1945,2,historical,bcc_csm2_mr,3705748.46970041
1945,3,historical,bcc_csm2_mr,893130.206484821
1945,4,historical,bcc_csm2_mr,1986175.41064984
1946,1,historical,bcc_csm2_mr,5061050.8233349
