,year,avg_jja_temp_f,scenario,model
69,2019,73.82629174213324,ssp585,access-esm1-5
70,2020,73.24311377056618,ssp585,access-esm1-5
71,2021,72.66885318906839,ssp585,access-esm1-5
72,2022,73.11605933378135,ssp585,access-esm1-5
73,2023,72.73001719785427,ssp585,access-esm1-5
74,2024,74.61213134964957,ssp585,access-esm1-5
75,2025,78.11917091672974,ssp585,access-esm1-5
76,2026,75.64533356129806,ssp585,access-esm1-5
77,2027,75.75848939363956,ssp585,access-esm1-5
78,2028,76.88894506523975,ssp585,access-esm1-5
79,2029,75.01185321282162,ssp585,access-esm1-5
80,2030,75.24336165850555,ssp585,access-esm1-5
81,2031,74.63324540713305,ssp585,access-esm1-5
82,2032,76.71631233132113,ssp585,access-esm1-5
83,2033,75.89416954598356,ssp585,access-esm1-5
84,2034,75.64915972849003,ssp585,access-esm1-5
85,2035,76.68602045940445,ssp585,access-esm1-5
86,2036,75.07727051386011,ssp585,access-esm1-5
87,2037,75.55517192695335,ssp585,access-esm1-5
88,2038,73.60525923415571,ssp585,access-esm1-5
89,2039,74.99997326067839,ssp585,access-esm1-5
90,2040,75.32359455592143,ssp585,access-esm1-5
91,2041,77.1293932604624,ssp585,access-esm1-5
92,2042,77.99205878742538,ssp585,access-esm1-5
93,2043,76.394409856964,ssp585,access-esm1-5
94,2044,76.13714368411688,ssp585,access-esm1-5
95,2045,77.96251293435789,ssp585,access-esm1-5
96,2046,75.86284625545021,ssp585,access-esm1-5
97,2047,77.84646104460047,ssp585,access-esm1-5
98,2048,78.80064598312781,ssp585,access-esm1-5
99,2049,77.07927317482097,ssp585,access-esm1-5
100,2050,77.25962880807776,ssp585,access-esm1-5
101,2051,76.8501090102992,ssp585,access-esm1-5
102,2052,77.21051391766613,ssp585,access-esm1-5
103,2053,78.71403191862447,ssp585,access-esm1-5
104,2054,76.90191623165003,ssp585,access-esm1-5
105,2055,79.50957804159225,ssp585,access-esm1-5
106,2056,77.51247136898411,ssp585,access-esm1-5
107,2057,78.97601674893644,ssp585,access-esm1-5
108,2058,78.50708748225355,ssp585,access-esm1-5
109,2059,76.86065312180918,ssp585,access-esm1-5
110,2060,77.67938265460398,ssp585,access-esm1-5
111,2061,78.71475479763363,ssp585,access-esm1-5
112,2062,77.93094616754539,ssp585,access-esm1-5
113,2063,80.74904661501635,ssp585,access-esm1-5
114,2064,78.6864363462027,ssp585,access-esm1-5
115,2065,78.28608718527211,ssp585,access-esm1-5
116,2066,79.68679312311782,ssp585,access-esm1-5
117,2067,78.12564417687425,ssp585,access-esm1-5
118,2068,78.94824270625689,ssp585,access-esm1-5
119,2069,79.39897119934355,ssp585,access-esm1-5
120,2070,78.35520711766112,ssp585,access-esm1-5
121,2071,80.92347050144753,ssp585,access-esm1-5
122,2072,80.98918587534418,ssp585,access-esm1-5
123,2073,79.08392166528196,ssp585,access-esm1-5
124,2074,81.87292309114359,ssp585,access-esm1-5
