year,state,av_temp,scenario
1989,GA,49.85,nclimgrid
1990,GA,48.95,nclimgrid
1991,GA,50.11,nclimgrid
1992,GA,49.66,nclimgrid
1993,GA,48.1,nclimgrid
1994,GA,46.37,nclimgrid
1995,GA,48.28,nclimgrid
1996,GA,46.17,nclimgrid
1997,GA,49.69,nclimgrid
1998,GA,48.97,nclimgrid
1999,GA,51.52,nclimgrid
2000,GA,48.43,nclimgrid
2001,GA,45.56,nclimgrid
2002,GA,49.83,nclimgrid
2003,GA,45.52,nclimgrid
2004,GA,45.08,nclimgrid
2005,GA,49,nclimgrid
2006,GA,48.02,nclimgrid
2007,GA,49.36,nclimgrid
2008,GA,49.64,nclimgrid
2009,GA,48.57,nclimgrid
2010,GA,43.42,nclimgrid
2011,GA,44.04,nclimgrid
2012,GA,51.24,nclimgrid
2013,GA,51.21,nclimgrid
2014,GA,46.88,nclimgrid
2015,GA,46.6,nclimgrid
2016,GA,51.08,nclimgrid
2017,GA,53.83,nclimgrid
2018,GA,50.02,nclimgrid
2019,GA,51.33,nclimgrid
2020,GA,52.18,nclimgrid
2021,GA,NA,nclimgrid
2022,GA,NA,nclimgrid
2023,GA,NA,nclimgrid
2024,GA,NA,nclimgrid
2025,GA,NA,nclimgrid
2026,GA,NA,nclimgrid
2027,GA,NA,nclimgrid
2028,GA,NA,nclimgrid
2029,GA,NA,nclimgrid
2030,GA,NA,nclimgrid
2031,GA,NA,nclimgrid
2032,GA,NA,nclimgrid
2033,GA,NA,nclimgrid
2034,GA,NA,nclimgrid
2035,GA,NA,nclimgrid
2036,GA,NA,nclimgrid
2037,GA,NA,nclimgrid
