,year,avg_ann_temp_f,scenario,model
35,1985,52.106263518902345,ssp585,noresm2-lm
36,1986,49.97265718810312,ssp585,noresm2-lm
37,1987,51.961346929831485,ssp585,noresm2-lm
38,1988,52.25254054903713,ssp585,noresm2-lm
39,1989,50.57826399056685,ssp585,noresm2-lm
40,1990,50.27555967626792,ssp585,noresm2-lm
41,1991,52.00863968397463,ssp585,noresm2-lm
42,1992,50.89060032588007,ssp585,noresm2-lm
43,1993,51.511304147891046,ssp585,noresm2-lm
44,1994,52.3987943772009,ssp585,noresm2-lm
45,1995,51.26057227501302,ssp585,noresm2-lm
46,1996,52.646148159292146,ssp585,noresm2-lm
47,1997,52.18959081411193,ssp585,noresm2-lm
48,1998,52.574691619003204,ssp585,noresm2-lm
49,1999,52.84307025813969,ssp585,noresm2-lm
50,2000,52.563932270113035,ssp585,noresm2-lm
51,2001,52.47902016207731,ssp585,noresm2-lm
52,2002,52.52730763430613,ssp585,noresm2-lm
53,2003,52.80880216149289,ssp585,noresm2-lm
54,2004,52.076530299987375,ssp585,noresm2-lm
55,2005,51.092045596059066,ssp585,noresm2-lm
56,2006,53.240753629473495,ssp585,noresm2-lm
57,2007,53.091037906411295,ssp585,noresm2-lm
58,2008,52.62552583725006,ssp585,noresm2-lm
59,2009,52.712899983715374,ssp585,noresm2-lm
60,2010,51.32410968790491,ssp585,noresm2-lm
61,2011,54.59782784401414,ssp585,noresm2-lm
62,2012,53.67791323676773,ssp585,noresm2-lm
63,2013,52.1164221007698,ssp585,noresm2-lm
64,2014,52.78124704223977,ssp585,noresm2-lm
65,2015,54.21800782625513,ssp585,noresm2-lm
66,2016,53.21845951450721,ssp585,noresm2-lm
67,2017,55.21703673194044,ssp585,noresm2-lm
68,2018,54.19633227350943,ssp585,noresm2-lm
69,2019,55.4909692415964,ssp585,noresm2-lm
70,2020,55.387929546102356,ssp585,noresm2-lm
71,2021,53.16585423228382,ssp585,noresm2-lm
72,2022,54.777343372325,ssp585,noresm2-lm
73,2023,52.70577864545619,ssp585,noresm2-lm
74,2024,51.957665453070675,ssp585,noresm2-lm
75,2025,54.75621580445252,ssp585,noresm2-lm
76,2026,55.18878464613294,ssp585,noresm2-lm
77,2027,54.69850085556966,ssp585,noresm2-lm
78,2028,55.514753288993916,ssp585,noresm2-lm
79,2029,55.023601508766745,ssp585,noresm2-lm
80,2030,54.405003134143406,ssp585,noresm2-lm
81,2031,54.45003156471527,ssp585,noresm2-lm
82,2032,54.9243996724042,ssp585,noresm2-lm
83,2033,55.93472621923434,ssp585,noresm2-lm
84,2034,54.9868441880254,ssp585,noresm2-lm
85,2035,56.05996388071007,ssp585,noresm2-lm
